P_Code,ISO_Alpha_3Code,OfficialCountryCode_Short
KGZ,KGZ,Kyrgyzstan
CAM,KHM,Cambodia
KIR,KIR,Kiribati
STK,KNA,Saint Kitts and Nevis
KOR,KOR,Rep. of Korea
KUW,KWT,Kuwait
LAO,LAO,Lao People's Dem. Rep.
LEB,LBN,Lebanon
LBR,LBR,Liberia
LBY,LBY,Libya
LCA,LCA,Saint Lucia
LIE,LIE,Liechtenstein
LKA,LKA,Sri Lanka
LES,LSO,Lesotho
LTU,LTU,Lithuania
LUX,LUX,Luxembourg
LVA,LVA,Latvia
MAC,MAC,China
MOR,MAR,Morocco
MCO,MCO,Monaco
MDA,MDA,Rep. of Moldova
MAD,MDG,Madagascar
MDV,MDV,Maldives
MEX,MEX,Mexico
MHL,MHL,Marshall Islands
MCD,MKD,The former Yugoslav Republic of Macedonia
MLI,MLI,Mali
MTA,MLT,Malta
MYA,MMR,Myanmar
MNE,MNE,Montenegro
MNG,MNG,Mongolia
MOZ,MOZ,Mozambique
MAU,MRT,Mauritania
MSR,MSR,Montserrat
MAR,MTQ,Martinique
MTS,MUS,Mauritius
MLW,MWI,Malawi
MLS,MYS,Malaysia
MYT,MYT,Mayotte
NAM,NAM,Namibia
FNC,NCL,New Caledonia
NGR,NER,Niger
NFK,NFK,Norfolk Island
NIG,NGA,Nigeria
NIC,NIC,Nicaragua
NIU,NIU,Niue
NET,NLD,Netherlands
NOR,NOR,Norway
NEP,NPL,Nepal
NRU,NRU,Nauru
NZL,NZL,New Zealand
OMN,OMN,Oman
PAK,PAK,Pakistan
PAN,PAN,Panama
PCN,PCN,Pitcairn
PER,PER,Peru
PHI,PHL,Philippines
PLW,PLW,Palau
PNG,PNG,Papua New Guinea
POL,POL,Poland
PUE,PRI,Puerto Rico
KRN,PRK,Dem. People's Rep. of Korea
POR,PRT,Portugal
PAR,PRY,Paraguay
GAZ,PSE,State of Palestine
FPO,PYF,French Polynesia
QAT,QAT,Qatar
REU,REU,Réunion
ROM,ROU,Romania
RUS,RUS,Russian Federation
RWA,RWA,Rwanda
SAU,SAU,Saudi Arabia
YUG,SCG,Serbia and Montenegro
SUD,SDN,Sudan
SEN,SEN,Senegal
SIN,SGP,Singapore
SJM,SJM,Svalbard and Jan Mayen
SOL,SLB,Solomon Islands
SLE,SLE,Sierra Leone
SAL,SLV,El Salvador
SMA,SMR,San Marino
SOM,SOM,Somalia
SPM,SPM,Saint-Pierre-et-Miquelon
SRB,SRB,Serbia and Kosovo: S/RES/1244 (1999)
SSD,SSD,South Sudan
STP,STP,Sao Tome and Principe
SUR,SUR,Suriname
SVK,SVK,Slovakia
SVN,SVN,Slovenia
SWE,SWE,Sweden
SWA,SWZ,Swaziland
SXM,SXM,Sint Maarten (Dutch part)
SEY,SYC,Seychelles
SYR,SYR,Syrian Arab Rep.
TCI,TCA,Turks and Caicos Islands
CHD,TCD,Chad
TOG,TGO,Togo
THA,THA,Thailand
TIB,TIB,Tibetan
TJK,TJK,Tajikistan
TKM,TKM,Turkmenistan
TMP,TLS,Timor-Leste
TON,TON,Tonga
TRT,TTO,Trinidad and Tobago
TUN,TUN,Tunisia
TUR,TUR,Turkey
TUV,TUV,Tuvalu
TAN,TZA,United Rep. of Tanzania
UGA,UGA,Uganda
UKR,UKR,Ukraine
URU,URY,Uruguay
USA,USA,United States of America
UZB,UZB,Uzbekistan
VAT,VAT,Holy See (the)
VCT,VCT,Saint Vincent and the Grenadines
VEN,VEN,Venezuela (Bolivarian Republic of)
BVI,VGB,British Virgin Islands
VIR,VIR,US Virgin Islands
SRV,VNM,Viet Nam
VAN,VUT,Vanuatu
WLF,WLF,Wallis and Futuna Islands 
WES,WSM,Samoa
KOS,XKS,Kosovo (SC/RES/1244(1999))
STA,XXA,Stateless
VAR,XXC,Various
YEM,YEM,Yemen
RSA,ZAF,South Africa
ZAM,ZMB,Zambia
ZIM,ZWE,Zimbabwe
